"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Minuslog10padj"
"hsa-miR-4433a-5p",6.60555204126027,6.14393954118183,1.01820456604848,6.03409152349971,1.59859447643396e-09,2.63967912921158e-07,6.57844886134308
"hsa-miR-96-5p",40.9124501381318,3.22054933318021,0.396522395591048,8.12198596848414,4.58616361631911e-16,1.51458053428939e-13,12.8197076291204
"hsa-miR-200b-3p",29.0053700517488,-1.21398830412833,0.332888717765188,-3.64682922352643,0.000265496248761579,0.0208730796549877,1.68041346955
"hsa-miR-3529-3p",2043.26717899602,0.8747034624897,0.195062838679688,4.48421374573579,7.31832761901459e-06,0.000743654675747559,3.12862868707857
"hsa-miR-124-3p",19.8244847012479,4.88228481458272,0.597600484146722,8.16981402140903,3.08865222346954e-16,1.36003652906775e-13,12.8664494268066
"hsa-miR-217-5p",20.6575107408452,-2.61407957294764,0.685516239818567,-3.81330072302809,0.000137123095538871,0.0120759739471233,1.91807783260098
"hsa-miR-129-5p",93.9303922626127,1.47356364562472,0.426467334449364,3.45527904857549,0.00054972355218888,0.0382202532863953,1.41770643919311
"hsa-miR-205-5p",7.60746508935264,-6.38108639306797,0.947888189934323,-6.73189777109692,1.67464291406439e-11,4.42440657895811e-09,8.35414497056308
"hsa-miR-183-5p",1363.53915979191,2.86107492780221,0.316943057842154,9.02709447962447,1.76290198039299e-19,1.16439675804957e-16,15.933899012408
"hsa-miR-378i",14.1005272353947,2.28380743262112,0.488926983899226,4.67106031744782,2.99648925406253e-06,0.00039583623046166,3.40248445780657
"hsa-miR-196b-5p",4.66105659968788,3.10138765023841,0.892386989593005,3.4753842070836,0.00051012216671666,0.0374372990129282,1.4266954918275
"hsa-miR-140-3p",6211.70739242599,-0.703235001572522,0.181485970210271,-3.87487253564421,0.000106680525248095,0.0100660695609095,1.99714007276515
"hsa-miR-200c-3p",20.2333004083373,-1.98603017924621,0.382859777196182,-5.18735656639257,2.13300092568424e-07,3.13077135869875e-05,4.50434864789929
"hsa-miR-4433b-3p",6.60555204126027,6.14393954118183,1.01820456604848,6.03409152349971,1.59859447643396e-09,2.63967912921158e-07,6.57844886134308
"hsa-miR-375-3p",43.0132200996089,-3.83951119598902,0.349929578533135,-10.9722396491426,5.19689251107411e-28,6.8650950071289e-25,24.163353448116
"hsa-miR-182-5p",2082.86677563901,2.12212624549549,0.34940583123652,6.07352841818767,1.25129842921164e-09,2.63967912921158e-07,6.57844886134308
"hsa-miR-7-5p",2043.26717899602,0.8747034624897,0.195062838679688,4.48421374573579,7.31832761901459e-06,0.000743654675747559,3.12862868707857
"hsa-miR-1298-5p",6.87295556603673,3.90191052162396,0.865761042432699,4.50691395244581,6.57772923489126e-06,0.000743654675747559,3.12862868707857
"hsa-miR-1269b",3.28542493611647,4.11921538889198,1.13046477141365,3.64382464014415,0.00026861646792944,0.0208730796549877,1.68041346955
